   x          y
  10 0.21812925
  11 0.24963050
  12 0.26875208
  13 0.14251024
  14 0.25056874
  15 0.18083691
  16 0.16630199
  17 0.12854534
  18 0.19176997
  19 0.15782413
  20 0.11890086
  21 0.10372404
  22 0.16447780
  23 0.14936029
  24 0.10912732
  25 0.10600785
  26 0.11241275
  27 0.10146693
  28 0.11782906
  29 0.09621434
  30 0.12937132
  31 0.08694329
  32 0.10623804
  33 0.10934895
  34 0.09966228
  35 0.08689009
  36 0.10032347
  37 0.08088666
  38 0.08457859
  39 0.08681291
  40 0.09188711
  41 0.10082023
  42 0.09173496
  43 0.08752276
  44 0.07700580
  45 0.07594034
  46 0.07482325
  47 0.07420548
  48 0.07817934
  49 0.07555538
  50 0.07588934
  51 0.07215784
  52 0.07962846
  53 0.07509253
  54 0.07577298
  55 0.07215056
  56 0.06221769
  57 0.06885759
  58 0.05924768
  59 0.06272227
  60 0.07755119
  61 0.06736460
  62 0.06310561
  63 0.06640967
  64 0.06335978
  65 0.06544791
  66 0.06403086
  67 0.05784023
  68 0.05681770
  69 0.05925988
  70 0.05877170
  71 0.05837632
  72 0.05910926
  73 0.06079436
  74 0.05609972
  75 0.05682469
  76 0.06007677
  77 0.05355036
  78 0.05580569
  79 0.05263788
  80 0.05241552
  81 0.05382563
  82 0.04924902
  83 0.05455459
  84 0.04618701
  85 0.05731544
  86 0.05056269
  87 0.05154886
  88 0.05148026
  89 0.05041386
  90 0.04824158
  91 0.04624185
  92 0.04750738
  93 0.04870506
  94 0.04890853
  95 0.04844435
  96 0.04681269
  97 0.04617480
  98 0.04477448
  99 0.04747762
 100 0.04676510
